"year","2GJ3KL","3NOP","4R","4S","4T","4VWX5YZ","NA"
1968,177,193,7,487,4663,15311,0
1969,240,79,30,3,3739,14545,0
1970,704,158,65,11,5812,14256,0
1971,1311,195,151,121,5782,16936,0
1972,1431,148,205,180,7351,13045,0
1973,2558,317,206,292,9438,25739,0
1974,1705,246,92,67,6864,35681,0
1975,3579,590,65,26,2126,29872,0
1976,5194,82,123,87,2945,24634,0
1977,7790,75,22,71,2670,12137,0
1978,13419,253,52,12,3197,8966,0
1979,14621,230,480,7,6096,9178,0
1980,6100,90,1016,7,8070,7013,0
1981,6709,161,60,6,5960,6459,0
1982,216,20,72,11,8422,7642,0
1983,7689,64,561,1,6103,5388,0
1984,5502,136,229,69,5548,6749,0
1985,15070,568,118,68,7774,7308,0
1986,12141,150,196,171,12904,5535,0
1987,9698,189,3240,100,9009,5323,0
1988,4603,51,1960,36,11350,7016,0
1989,2518,101,3425,49,9918,5131,0
1990,1106,100,3052,19,9032,9738,0
1991,739,97,7541,22,10131,6981,0
1992,3781,87,6050,28,7813,8803,0
1993,5088,45,4577,75,10170,6893,0
1994,22,47,2517,36,10377,7614,0
1995,21.693,123.163,2696.744,29.643,8181.769,6635.591,0
1996,3.265,71.104,3680.264,9.196,11348.195,5245.856,0
1997,0,8.735,1166.552,1.058,15356.963,4876.759,0
1998,6.653,95.012,2232.026,0.715,12738.418,4439.978,0
1999,0,7.195,1402.848,2.143,10562.303,4563.506,303
2000,2384.964,45.576,1991.258,0.002,7004.941,4358.842,310.848
2001,332.217,280.968,8375.183,16.317,11914.641,3119.819,308.08
2002,6568.397,169.059,11205.434,1.777,14158.276,2193.784,326.044
2003,588.124,155.043,25738.306,0,14222.147,3740.192,216.772
2004,16050.691,78.109,23861.063,0.437,9336.635,4221.345,361.582
2005,28284.731,237.736,14116.252,34.684,10456.118,2683.129,185.656
2006,26972.069,269.171,16873.209,76.448,7753.457,1602.875,212.103
2007,19421.184,380.859,24776.945,18.563,5758.856,2357.409,651.384
2008,9099.555,169.632,13741.445,22.587,5325.61,1173.426,107.381
2009,6922.743,5386.573,21908.551,63.546,6651.363,1115.787,156.522
2010,13700.915,5540.549,13868.981,123.328,4700.792,553.915,157.524
2011,487.086,1543.968,5285.718,106.624,3541.319,408.328,111.56
2012,208.541,148.658,2261.046,304.364,3128.058,691.503,100.903
2013,234.714,25.753,4909.019,245.24,2758.652,403.256,97.33
2014,31.462,246.04,3154.553,20.411,2389.231,703.035,134.915
2015,262.106,1,438.458,28.929,2234.158,1171.582,137.08
2016,2794.75,0,1836.037,62.345,1987.025,1214.069,157.565
2017,1122.342,48.995,1463.209,138.894,4793.923,2061.544,139.167
2018,5412.892,0,210.28,466.683,3187.808,1613.465,160.141
2019,4724.223,0.055,89.471,222.513,2700.966,907.391,105.301
2020,3967.775,0.452,47.028,259.079,2352.132,1201.623,128.664
2021,436.464,7.213,176.597,300.328,2255.768,1223.229,119.004
2022,5.841,0,3.9,2.268,4.807,59.259,84.62
2023,4.142,0,4.027,0,8.34,46.914,54.331
2024,1.733,0.222,3.253,0.913609977324263,169.021157165533,107.7991,47.2538324263039
